SimTime,cpu_tb.cpu_ut.registers.inW[31:0],cpu_tb.cpu_ut.registers.outB[31:0],cpu_tb.cpu_ut.registers.outA[31:0],cpu_tb.cpu_ut.datamem.dout[31:0],cpu_tb.cpu_ut.datamem.din[31:0],cpu_tb.cpu_ut.datamem.addr[31:0],cpu_tb.cpu_ut.cpu_alu.R[31:0],cpu_tb.cpu_ut.cpu_alu.B[31:0],cpu_tb.cpu_ut.cpu_alu.A[31:0],cpu_tb.cpu_ut.instructionfetcher.currpc[29:0],cpu_tb.cpu_ut.instructionfetcher.instr[31:0],cpu_tb.cpu_ut.aluctrl.ALUOp[2:0],cpu_tb.cpu_ut.aluctrl.ALUCtr[2:0],cpu_tb.clk
545,1000001C,00000000,1000001C,00000000,00000000,1000001C,1000001C,00000000,1000001C,00100011,AC400000,0,2,1
550,10000020,1000001C,1000001C,00000002,1000001C,10000020,10000020,00000004,1000001C,00100012,20420004,0,2,0
555,10000020,1000001C,1000001C,00000002,1000001C,10000020,10000020,00000004,1000001C,00100012,20420004,0,2,1
560,FFFFFFF8,10000028,10000020,00000190,10000028,FFFFFFF8,FFFFFFF8,10000028,10000020,00100013,1447FFF9,1,6,0
565,FFFFFFF8,10000028,10000020,00000190,10000028,FFFFFFF8,FFFFFFF8,10000028,10000020,00100013,1447FFF9,1,6,1
570,00000002,00000001,10000020,00000002,00000001,10000020,10000020,00000000,10000020,0010000D,8C430000,0,2,0
575,00000002,00000001,10000020,00000002,00000001,10000020,10000020,00000000,10000020,0010000D,8C430000,0,2,1
580,00000000,00000002,0000003D,00000002,00000002,00000000,00000000,00000002,0000003D,0010000E,00C3202A,4,7,0
585,00000000,00000002,0000003D,00000002,00000002,00000000,00000000,00000002,0000003D,0010000E,00C3202A,4,7,1
590,FFFFFFFF,00000001,00000000,00000002,00000001,FFFFFFFF,FFFFFFFF,00000001,00000000,0010000F,10850002,1,6,0
595,FFFFFFFF,00000001,00000000,00000002,00000001,FFFFFFFF,FFFFFFFF,00000001,00000000,0010000F,10850002,1,6,1
600,0000003B,00000002,0000003D,00000002,00000002,0000003B,0000003B,00000002,0000003D,00100010,00C33022,4,6,0
