SimTime,cpu_tb.cpu_ut.registers.inW[31:0],cpu_tb.cpu_ut.registers.outB[31:0],cpu_tb.cpu_ut.registers.outA[31:0],cpu_tb.cpu_ut.datamem.dout[31:0],cpu_tb.cpu_ut.datamem.din[31:0],cpu_tb.cpu_ut.datamem.addr[31:0],cpu_tb.cpu_ut.cpu_alu.R[31:0],cpu_tb.cpu_ut.cpu_alu.B[31:0],cpu_tb.cpu_ut.cpu_alu.A[31:0],cpu_tb.cpu_ut.instructionfetcher.currpc[29:0],cpu_tb.cpu_ut.instructionfetcher.instr[31:0],cpu_tb.cpu_ut.aluctrl.ALUOp[2:0],cpu_tb.cpu_ut.aluctrl.ALUCtr[2:0],cpu_tb.clk
3485,00000007,00000000,00000007,00000008,00000000,00000007,00000007,00000000,00000007,00100013,00203820,4,2,1
3490,10000028,10000024,10000024,00000008,10000024,10000028,10000028,00000004,10000024,00100014,20630004,0,2,0
3495,10000028,10000024,10000024,00000008,10000024,10000028,10000028,00000004,10000024,00100014,20630004,0,2,1
3500,00000000,10000028,10000028,00000000,10000028,00000000,00000000,10000028,10000028,00100015,1465FFF8,1,6,0
3505,00000000,10000028,10000028,00000000,10000028,00000000,00000000,10000028,10000028,00100015,1465FFF8,1,6,1
3510,1000001C,10000018,10000018,0000000A,10000018,1000001C,1000001C,00000004,10000018,00100016,20420004,0,2,0
3515,1000001C,10000018,10000018,0000000A,10000018,1000001C,1000001C,00000004,10000018,00100016,20420004,0,2,1
3520,FFFFFFF8,10000024,1000001C,00000007,10000024,FFFFFFF8,FFFFFFF8,10000024,1000001C,00100017,1444FFF4,1,6,0
3525,FFFFFFF8,10000024,1000001C,00000007,10000024,FFFFFFF8,FFFFFFF8,10000024,1000001C,00100017,1444FFF4,1,6,1
3530,0000000A,00000007,1000001C,0000000A,00000007,1000001C,1000001C,00000000,1000001C,0010000C,8C470000,0,2,0
3535,0000000A,00000007,1000001C,0000000A,00000007,1000001C,1000001C,00000000,1000001C,0010000C,8C470000,0,2,1
3540,10000020,10000028,1000001C,00000009,10000028,10000020,10000020,00000004,1000001C,0010000D,20430004,0,2,0
3545,10000020,10000028,1000001C,00000009,10000028,10000020,10000020,00000004,1000001C,0010000D,20430004,0,2,1
3550,00000009,00000007,10000020,00000009,00000007,10000020,10000020,00000000,10000020,0010000E,8C610000,0,2,0
3555,00000009,00000007,10000020,00000009,00000007,10000020,10000020,00000000,10000020,0010000E,8C610000,0,2,1
3560,00000000,00000009,0000000A,00000000,00000009,00000000,00000000,00000009,0000000A,0010000F,00E1302A,4,7,0
3565,00000000,00000009,0000000A,00000000,00000009,00000000,00000000,00000009,0000000A,0010000F,00E1302A,4,7,1
3570,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00100010,1CC00003,0,2,0
3575,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00100010,1CC00003,0,2,1
3580,1000001C,00000009,1000001C,00000009,00000009,1000001C,1000001C,00000000,1000001C,00100011,AC410000,0,2,0
3585,1000001C,00000009,1000001C,00000009,00000009,1000001C,1000001C,00000000,1000001C,00100011,AC410000,0,2,1
3590,10000020,0000000A,10000020,0000000A,0000000A,10000020,10000020,00000000,10000020,00100012,AC670000,0,2,0
3595,10000020,0000000A,10000020,0000000A,0000000A,10000020,10000020,00000000,10000020,00100012,AC670000,0,2,1
3600,00000009,00000000,00000009,0000000A,00000000,00000009,00000009,00000000,00000009,00100013,00203820,4,2,0
3605,00000009,00000000,00000009,0000000A,00000000,00000009,00000009,00000000,00000009,00100013,00203820,4,2,1
3610,10000024,10000020,10000020,00000008,10000020,10000024,10000024,00000004,10000020,00100014,20630004,0,2,0
3615,10000024,10000020,10000020,00000008,10000020,10000024,10000024,00000004,10000020,00100014,20630004,0,2,1
3620,FFFFFFFC,10000028,10000024,00000000,10000028,FFFFFFFC,FFFFFFFC,10000028,10000024,00100015,1465FFF8,1,6,0
3625,FFFFFFFC,10000028,10000024,00000000,10000028,FFFFFFFC,FFFFFFFC,10000028,10000024,00100015,1465FFF8,1,6,1
3630,00000008,00000009,10000024,00000008,00000009,10000024,10000024,00000000,10000024,0010000E,8C610000,0,2,0
3635,00000008,00000009,10000024,00000008,00000009,10000024,10000024,00000000,10000024,0010000E,8C610000,0,2,1
3640,00000000,00000008,00000009,00000000,00000008,00000000,00000000,00000008,00000009,0010000F,00E1302A,4,7,0
3645,00000000,00000008,00000009,00000000,00000008,00000000,00000000,00000008,00000009,0010000F,00E1302A,4,7,1
3650,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00100010,1CC00003,0,2,0
3655,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00100010,1CC00003,0,2,1
3660,1000001C,00000008,1000001C,00000008,00000008,1000001C,1000001C,00000000,1000001C,00100011,AC410000,0,2,0
3665,1000001C,00000008,1000001C,00000008,00000008,1000001C,1000001C,00000000,1000001C,00100011,AC410000,0,2,1
3670,10000024,00000009,10000024,00000009,00000009,10000024,10000024,00000000,10000024,00100012,AC670000,0,2,0
3675,10000024,00000009,10000024,00000009,00000009,10000024,10000024,00000000,10000024,00100012,AC670000,0,2,1
3680,00000008,00000000,00000008,00000009,00000000,00000008,00000008,00000000,00000008,00100013,00203820,4,2,0
3685,00000008,00000000,00000008,00000009,00000000,00000008,00000008,00000000,00000008,00100013,00203820,4,2,1
3690,10000028,10000024,10000024,00000009,10000024,10000028,10000028,00000004,10000024,00100014,20630004,0,2,0
3695,10000028,10000024,10000024,00000009,10000024,10000028,10000028,00000004,10000024,00100014,20630004,0,2,1
3700,00000000,10000028,10000028,00000000,10000028,00000000,00000000,10000028,10000028,00100015,1465FFF8,1,6,0
3705,00000000,10000028,10000028,00000000,10000028,00000000,00000000,10000028,10000028,00100015,1465FFF8,1,6,1
3710,10000020,1000001C,1000001C,0000000A,1000001C,10000020,10000020,00000004,1000001C,00100016,20420004,0,2,0
3715,10000020,1000001C,1000001C,0000000A,1000001C,10000020,10000020,00000004,1000001C,00100016,20420004,0,2,1
3720,FFFFFFFC,10000024,10000020,00000008,10000024,FFFFFFFC,FFFFFFFC,10000024,10000020,00100017,1444FFF4,1,6,0
3725,FFFFFFFC,10000024,10000020,00000008,10000024,FFFFFFFC,FFFFFFFC,10000024,10000020,00100017,1444FFF4,1,6,1
3730,0000000A,00000008,10000020,0000000A,00000008,10000020,10000020,00000000,10000020,0010000C,8C470000,0,2,0
3735,0000000A,00000008,10000020,0000000A,00000008,10000020,10000020,00000000,10000020,0010000C,8C470000,0,2,1
3740,10000024,10000028,10000020,00000009,10000028,10000024,10000024,00000004,10000020,0010000D,20430004,0,2,0
3745,10000024,10000028,10000020,00000009,10000028,10000024,10000024,00000004,10000020,0010000D,20430004,0,2,1
3750,00000009,00000008,10000024,00000009,00000008,10000024,10000024,00000000,10000024,0010000E,8C610000,0,2,0
3755,00000009,00000008,10000024,00000009,00000008,10000024,10000024,00000000,10000024,0010000E,8C610000,0,2,1
3760,00000000,00000009,0000000A,00000000,00000009,00000000,00000000,00000009,0000000A,0010000F,00E1302A,4,7,0
3765,00000000,00000009,0000000A,00000000,00000009,00000000,00000000,00000009,0000000A,0010000F,00E1302A,4,7,1
3770,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00100010,1CC00003,0,2,0
3775,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00100010,1CC00003,0,2,1
3780,10000020,00000009,10000020,00000009,00000009,10000020,10000020,00000000,10000020,00100011,AC410000,0,2,0
3785,10000020,00000009,10000020,00000009,00000009,10000020,10000020,00000000,10000020,00100011,AC410000,0,2,1
3790,10000024,0000000A,10000024,0000000A,0000000A,10000024,10000024,00000000,10000024,00100012,AC670000,0,2,0
3795,10000024,0000000A,10000024,0000000A,0000000A,10000024,10000024,00000000,10000024,00100012,AC670000,0,2,1
3800,00000009,00000000,00000009,0000000A,00000000,00000009,00000009,00000000,00000009,00100013,00203820,4,2,0
3805,00000009,00000000,00000009,0000000A,00000000,00000009,00000009,00000000,00000009,00100013,00203820,4,2,1
3810,10000028,10000024,10000024,0000000A,10000024,10000028,10000028,00000004,10000024,00100014,20630004,0,2,0
3815,10000028,10000024,10000024,0000000A,10000024,10000028,10000028,00000004,10000024,00100014,20630004,0,2,1
3820,00000000,10000028,10000028,00000000,10000028,00000000,00000000,10000028,10000028,00100015,1465FFF8,1,6,0
3825,00000000,10000028,10000028,00000000,10000028,00000000,00000000,10000028,10000028,00100015,1465FFF8,1,6,1
3830,10000024,10000020,10000020,0000000A,10000020,10000024,10000024,00000004,10000020,00100016,20420004,0,2,0
3835,10000024,10000020,10000020,0000000A,10000020,10000024,10000024,00000004,10000020,00100016,20420004,0,2,1
3840,00000000,10000024,10000024,00000000,10000024,00000000,00000000,10000024,10000024,00100017,1444FFF4,1,6,0
3845,00000000,10000024,10000024,00000000,10000024,00000000,00000000,10000024,10000024,00100017,1444FFF4,1,6,1
3850,00000000,10000024,10000024,00000000,10000024,00000000,00000000,10000024,10000024,00100018,1444FFF4,1,6,0
3855,00000000,10000024,10000024,00000000,10000024,00000000,00000000,10000024,10000024,00100018,1444FFF4,1,6,1
3860,00000000,10000024,10000024,00000000,10000024,00000000,00000000,10000024,10000024,00100019,1444FFF4,1,6,0
3865,00000000,10000024,10000024,00000000,10000024,00000000,00000000,10000024,10000024,00100019,1444FFF4,1,6,1
3870,00000000,10000024,10000024,00000000,10000024,00000000,00000000,10000024,10000024,00100019,1444FFF4,1,6,1
