SimTime,cpu_tb.cpu_ut.registers.inW[31:0],cpu_tb.cpu_ut.registers.outB[31:0],cpu_tb.cpu_ut.registers.outA[31:0],cpu_tb.cpu_ut.datamem.dout[31:0],cpu_tb.cpu_ut.datamem.din[31:0],cpu_tb.cpu_ut.datamem.addr[31:0],cpu_tb.cpu_ut.cpu_alu.R[31:0],cpu_tb.cpu_ut.cpu_alu.B[31:0],cpu_tb.cpu_ut.cpu_alu.A[31:0],cpu_tb.cpu_ut.instructionfetcher.currpc[29:0],cpu_tb.cpu_ut.instructionfetcher.instr[31:0],cpu_tb.cpu_ut.aluctrl.ALUOp[2:0],cpu_tb.cpu_ut.aluctrl.ALUCtr[2:0],cpu_tb.clk
775,10000028,FFFFFFFF,10000028,FFFFFFFF,FFFFFFFF,10000028,10000028,00000000,10000028,00100031,ACE50000,0,2,1
780,10000028,FFFFFFFF,10000028,FFFFFFFF,FFFFFFFF,10000028,10000028,00000000,10000028,00100032,ACE50000,0,2,0
785,10000028,FFFFFFFF,10000028,FFFFFFFF,FFFFFFFF,10000028,10000028,00000000,10000028,00100032,ACE50000,0,2,1
790,10000028,FFFFFFFF,10000028,FFFFFFFF,FFFFFFFF,10000028,10000028,00000000,10000028,00100033,ACE50000,0,2,0
795,10000028,FFFFFFFF,10000028,FFFFFFFF,FFFFFFFF,10000028,10000028,00000000,10000028,00100033,ACE50000,0,2,1
800,10000028,FFFFFFFF,10000028,FFFFFFFF,FFFFFFFF,10000028,10000028,00000000,10000028,00100034,ACE50000,0,2,0
805,10000028,FFFFFFFF,10000028,FFFFFFFF,FFFFFFFF,10000028,10000028,00000000,10000028,00100034,ACE50000,0,2,1
810,10000028,FFFFFFFF,10000028,FFFFFFFF,FFFFFFFF,10000028,10000028,00000000,10000028,00100035,ACE50000,0,2,0
815,10000028,FFFFFFFF,10000028,FFFFFFFF,FFFFFFFF,10000028,10000028,00000000,10000028,00100035,ACE50000,0,2,1
820,10000028,FFFFFFFF,10000028,FFFFFFFF,FFFFFFFF,10000028,10000028,00000000,10000028,00100036,ACE50000,0,2,0
825,10000028,FFFFFFFF,10000028,FFFFFFFF,FFFFFFFF,10000028,10000028,00000000,10000028,00100036,ACE50000,0,2,1
830,10000028,FFFFFFFF,10000028,FFFFFFFF,FFFFFFFF,10000028,10000028,00000000,10000028,00100037,ACE50000,0,2,0
835,10000028,FFFFFFFF,10000028,FFFFFFFF,FFFFFFFF,10000028,10000028,00000000,10000028,00100037,ACE50000,0,2,1
840,10000028,FFFFFFFF,10000028,FFFFFFFF,FFFFFFFF,10000028,10000028,00000000,10000028,00100038,ACE50000,0,2,0
845,10000028,FFFFFFFF,10000028,FFFFFFFF,FFFFFFFF,10000028,10000028,00000000,10000028,00100038,ACE50000,0,2,1
850,10000028,FFFFFFFF,10000028,FFFFFFFF,FFFFFFFF,10000028,10000028,00000000,10000028,00100039,ACE50000,0,2,0
855,10000028,FFFFFFFF,10000028,FFFFFFFF,FFFFFFFF,10000028,10000028,00000000,10000028,00100039,ACE50000,0,2,1
860,10000028,FFFFFFFF,10000028,FFFFFFFF,FFFFFFFF,10000028,10000028,00000000,10000028,0010003A,ACE50000,0,2,0
865,10000028,FFFFFFFF,10000028,FFFFFFFF,FFFFFFFF,10000028,10000028,00000000,10000028,0010003A,ACE50000,0,2,1
870,10000028,FFFFFFFF,10000028,FFFFFFFF,FFFFFFFF,10000028,10000028,00000000,10000028,0010003B,ACE50000,0,2,0
875,10000028,FFFFFFFF,10000028,FFFFFFFF,FFFFFFFF,10000028,10000028,00000000,10000028,0010003B,ACE50000,0,2,1
